block	arm	status	window_d	kind	rep	ms
1	C	REHAB	30	list	4	0.104
1	C	REHAB	30	count	4	0.218
1	C	REHAB	30	list	5	0.106
1	C	REHAB	30	count	5	0.217
1	C	REHAB	0	list	1	0.331
1	C	REHAB	0	count	1	1.06
1	C	REHAB	0	list	2	0.319
1	C	REHAB	0	count	2	1.05
1	C	REHAB	0	list	3	0.322
1	C	REHAB	0	count	3	1.06
1	C	REHAB	0	list	4	0.322
1	C	REHAB	0	count	4	1.17
1	C	REHAB	0	list	5	0.329
1	C	REHAB	0	count	5	1.08
1	C	DIET	1	list	1	0.0872
1	C	DIET	1	count	1	0.0558
1	C	DIET	1	list	2	0.0825
1	C	DIET	1	count	2	0.0542
1	C	DIET	1	list	3	0.0853
1	C	DIET	1	count	3	0.162
1	C	DIET	1	list	4	0.0831
1	C	DIET	1	count	4	0.0545
1	C	DIET	1	list	5	0.0858
1	C	DIET	1	count	5	0.0565
1	C	DIET	7	list	1	0.0962
1	C	DIET	7	count	1	0.184
1	C	DIET	7	list	2	0.0937
1	C	DIET	7	count	2	0.184
1	C	DIET	7	list	3	0.0932
1	C	DIET	7	count	3	0.182
1	C	DIET	7	list	4	0.0958
1	C	DIET	7	count	4	0.185
1	C	DIET	7	list	5	0.0985
1	C	DIET	7	count	5	0.194
1	C	DIET	30	list	1	0.313
1	C	DIET	30	count	1	0.793
1	C	DIET	30	list	2	0.31
1	C	DIET	30	count	2	0.774
1	C	DIET	30	list	3	0.317
1	C	DIET	30	count	3	0.774
1	C	DIET	30	list	4	0.313
1	C	DIET	30	count	4	0.772
1	C	DIET	30	list	5	0.316
1	C	DIET	30	count	5	0.77
1	C	DIET	0	list	1	0.343
1	C	DIET	0	count	1	4.17
1	C	DIET	0	list	2	0.34
1	C	DIET	0	count	2	4.03
1	C	DIET	0	list	3	0.346
1	C	DIET	0	count	3	4.03
1	C	DIET	0	list	4	0.342
1	C	DIET	0	count	4	4.06
1	C	DIET	0	list	5	0.338
1	C	DIET	0	count	5	4.07
1	C	ADVANCED	1	list	1	0.0805
1	C	ADVANCED	1	count	1	0.0916
1	C	ADVANCED	1	list	2	0.081
1	C	ADVANCED	1	count	2	0.0902
1	C	ADVANCED	1	list	3	0.0835
1	C	ADVANCED	1	count	3	0.0905
1	C	ADVANCED	1	list	4	0.0829
1	C	ADVANCED	1	count	4	0.0912
1	C	ADVANCED	1	list	5	0.0823
1	C	ADVANCED	1	count	5	0.0918
1	C	ADVANCED	7	list	1	0.206
1	C	ADVANCED	7	count	1	0.482
1	C	ADVANCED	7	list	2	0.21
1	C	ADVANCED	7	count	2	0.482
1	C	ADVANCED	7	list	3	0.204
1	C	ADVANCED	7	count	3	0.484
1	C	ADVANCED	7	list	4	0.212
1	C	ADVANCED	7	count	4	0.478
1	C	ADVANCED	7	list	5	0.204
1	C	ADVANCED	7	count	5	0.48
1	C	ADVANCED	30	list	1	0.424
1	C	ADVANCED	30	count	1	1.97
1	C	ADVANCED	30	list	2	0.438
1	C	ADVANCED	30	count	2	1.97
1	C	ADVANCED	30	list	3	0.423
1	C	ADVANCED	30	count	3	1.98
1	C	ADVANCED	30	list	4	0.424
1	C	ADVANCED	30	count	4	1.99
1	C	ADVANCED	30	list	5	0.434
1	C	ADVANCED	30	count	5	1.98
1	C	ADVANCED	0	list	1	0.341
1	C	ADVANCED	0	count	1	11.3
1	C	ADVANCED	0	list	2	0.333
1	C	ADVANCED	0	count	2	11
1	C	ADVANCED	0	list	3	0.349
1	C	ADVANCED	0	count	3	11.1
1	C	ADVANCED	0	list	4	0.333
1	C	ADVANCED	0	count	4	11
1	C	ADVANCED	0	list	5	0.335
1	C	ADVANCED	0	count	5	11.3
1	C	BEGINNER	1	list	1	0.121
1	C	BEGINNER	1	count	1	0.252
1	C	BEGINNER	1	list	2	0.118
1	C	BEGINNER	1	count	2	0.25
1	C	BEGINNER	1	list	3	0.119
1	C	BEGINNER	1	count	3	0.251
1	C	BEGINNER	1	list	4	0.121
1	C	BEGINNER	1	count	4	0.251
1	C	BEGINNER	1	list	5	0.123
1	C	BEGINNER	1	count	5	0.252
1	C	BEGINNER	7	list	1	0.442
1	C	BEGINNER	7	count	1	1.58
1	C	BEGINNER	7	list	2	0.428
1	C	BEGINNER	7	count	2	1.57
1	C	BEGINNER	7	list	3	0.416
1	C	BEGINNER	7	count	3	1.55
1	C	BEGINNER	7	list	4	0.42
1	C	BEGINNER	7	count	4	1.56
1	C	BEGINNER	7	list	5	0.431
1	C	BEGINNER	7	count	5	1.55
1	C	BEGINNER	30	list	1	0.426
1	C	BEGINNER	30	count	1	6.71
1	C	BEGINNER	30	list	2	0.417
1	C	BEGINNER	30	count	2	6.57
1	C	BEGINNER	30	list	3	0.419
1	C	BEGINNER	30	count	3	6.63
1	C	BEGINNER	30	list	4	0.413
1	C	BEGINNER	30	count	4	6.65
1	C	BEGINNER	30	list	5	0.413
1	C	BEGINNER	30	count	5	6.59
1	C	BEGINNER	0	list	1	0.324
1	C	BEGINNER	0	count	1	38.8
1	C	BEGINNER	0	list	2	0.333
1	C	BEGINNER	0	count	2	38.2
1	C	BEGINNER	0	list	3	0.326
1	C	BEGINNER	0	count	3	38.5
1	C	BEGINNER	0	list	4	0.325
1	C	BEGINNER	0	count	4	38.3
1	C	BEGINNER	0	list	5	0.326
1	C	BEGINNER	0	count	5	39.3
