block	arm	status	window_d	kind	rep	ms
1	A1	IN_PROGRESS	0	list	4	0.328
1	A1	IN_PROGRESS	0	count	4	187
1	A1	IN_PROGRESS	0	list	5	0.324
1	A1	IN_PROGRESS	0	count	5	188
1	A1	COMPLETED	1	list	1	0.487
1	A1	COMPLETED	1	count	1	4.1
1	A1	COMPLETED	1	list	2	0.496
1	A1	COMPLETED	1	count	2	4
1	A1	COMPLETED	1	list	3	0.49
1	A1	COMPLETED	1	count	3	4.11
1	A1	COMPLETED	1	list	4	0.492
1	A1	COMPLETED	1	count	4	4.03
1	A1	COMPLETED	1	list	5	0.493
1	A1	COMPLETED	1	count	5	4.15
1	A1	COMPLETED	7	list	1	4.63
1	A1	COMPLETED	7	count	1	26.4
1	A1	COMPLETED	7	list	2	4.63
1	A1	COMPLETED	7	count	2	25.7
1	A1	COMPLETED	7	list	3	4.59
1	A1	COMPLETED	7	count	3	26.1
1	A1	COMPLETED	7	list	4	4.64
1	A1	COMPLETED	7	count	4	25.9
1	A1	COMPLETED	7	list	5	4.61
1	A1	COMPLETED	7	count	5	26.4
1	A1	COMPLETED	30	list	1	4.57
1	A1	COMPLETED	30	count	1	108
1	A1	COMPLETED	30	list	2	4.65
1	A1	COMPLETED	30	count	2	107
1	A1	COMPLETED	30	list	3	4.67
1	A1	COMPLETED	30	count	3	106
1	A1	COMPLETED	30	list	4	4.63
1	A1	COMPLETED	30	count	4	107
1	A1	COMPLETED	30	list	5	4.64
1	A1	COMPLETED	30	count	5	106
1	A1	COMPLETED	0	list	1	0.116
1	A1	COMPLETED	0	count	1	235
1	A1	COMPLETED	0	list	2	0.116
1	A1	COMPLETED	0	count	2	235
1	A1	COMPLETED	0	list	3	0.118
1	A1	COMPLETED	0	count	3	236
1	A1	COMPLETED	0	list	4	0.117
1	A1	COMPLETED	0	count	4	236
1	A1	COMPLETED	0	list	5	0.116
1	A1	COMPLETED	0	count	5	237
1	B	FAILED	1	list	1	0.15
1	B	FAILED	1	count	1	0.0447
1	B	FAILED	1	list	2	0.148
1	B	FAILED	1	count	2	0.0466
1	B	FAILED	1	list	3	0.15
1	B	FAILED	1	count	3	0.0446
1	B	FAILED	1	list	4	0.147
1	B	FAILED	1	count	4	0.0464
1	B	FAILED	1	list	5	0.145
1	B	FAILED	1	count	5	0.0453
1	B	FAILED	7	list	1	0.213
1	B	FAILED	7	count	1	0.136
1	B	FAILED	7	list	2	0.213
1	B	FAILED	7	count	2	0.132
1	B	FAILED	7	list	3	0.216
1	B	FAILED	7	count	3	0.133
1	B	FAILED	7	list	4	0.216
1	B	FAILED	7	count	4	0.136
1	B	FAILED	7	list	5	0.21
1	B	FAILED	7	count	5	0.131
1	B	FAILED	30	list	1	0.337
1	B	FAILED	30	count	1	0.532
1	B	FAILED	30	list	2	0.32
1	B	FAILED	30	count	2	0.516
1	B	FAILED	30	list	3	0.331
1	B	FAILED	30	count	3	0.523
1	B	FAILED	30	list	4	0.327
1	B	FAILED	30	count	4	0.518
1	B	FAILED	30	list	5	0.329
1	B	FAILED	30	count	5	0.52
1	B	FAILED	0	list	1	4.43
1	B	FAILED	0	count	1	5.16
1	B	FAILED	0	list	2	4.52
1	B	FAILED	0	count	2	5.13
1	B	FAILED	0	list	3	4.47
1	B	FAILED	0	count	3	5.21
1	B	FAILED	0	list	4	4.42
1	B	FAILED	0	count	4	5.13
1	B	FAILED	0	list	5	4.48
1	B	FAILED	0	count	5	5.05
1	B	CANCELLED	1	list	1	0.219
1	B	CANCELLED	1	count	1	0.0987
1	B	CANCELLED	1	list	2	0.221
1	B	CANCELLED	1	count	2	0.107
1	B	CANCELLED	1	list	3	0.219
1	B	CANCELLED	1	count	3	0.0969
1	B	CANCELLED	1	list	4	0.214
1	B	CANCELLED	1	count	4	0.0954
1	B	CANCELLED	1	list	5	0.225
1	B	CANCELLED	1	count	5	0.0976
1	B	CANCELLED	7	list	1	0.311
1	B	CANCELLED	7	count	1	0.525
1	B	CANCELLED	7	list	2	0.311
1	B	CANCELLED	7	count	2	0.523
1	B	CANCELLED	7	list	3	0.318
1	B	CANCELLED	7	count	3	0.526
1	B	CANCELLED	7	list	4	0.312
1	B	CANCELLED	7	count	4	0.529
1	B	CANCELLED	7	list	5	0.309
1	B	CANCELLED	7	count	5	0.521
1	B	CANCELLED	30	list	1	1.22
1	B	CANCELLED	30	count	1	2.17
1	B	CANCELLED	30	list	2	1.23
1	B	CANCELLED	30	count	2	2.22
1	B	CANCELLED	30	list	3	1.24
1	B	CANCELLED	30	count	3	2.18
1	B	CANCELLED	30	list	4	1.22
1	B	CANCELLED	30	count	4	2.27
1	B	CANCELLED	30	list	5	1.22
1	B	CANCELLED	30	count	5	2.21
1	B	CANCELLED	0	list	1	4.54
1	B	CANCELLED	0	count	1	21.9
1	B	CANCELLED	0	list	2	4.43
1	B	CANCELLED	0	count	2	22
