dataset	target	arm	query	driving	max_q_access	max_q_all	handler	top_ms	nodes(est/act x loops q)
skew_t34_uni	T34	S3	T4.count.COMPLETED.w0	exercise_sessions(idx_session_status_starttime)	2.0	2.0	25146	12.5	Aggregate 1/1x1 q1.0 ; Filter 49997/25145x1 q2.0 ; exercise_sessions:idx_session_status_starttime 49997/25145x1 q2.0
skew_t34_skew	T34	S0	T3.a.day	exercise_sessions(idx_session_starttime_member)	1.0	1.0	276	0.266	Aggregate 1/1x1 q1.0 ; Filter 275/275x1 q1.0 ; exercise_sessions:idx_session_starttime_member 275/275x1 q1.0
skew_t34_skew	T34	S0	T3.b.status	exercise_sessions(idx_session_status_starttime)	1.0	1.3	99997	57.1	Group aggregate 3/4x1 q1.3 ; exercise_sessions:idx_session_status_starttime 99902/99995x1 q1.0
skew_t34_skew	T34	S0	T4.list.FAILED.w1	exercise_sessions(idx_session_status_starttime)	1.0	1.0	9	0.0741	Limit 8/8x1 q1.0 ; exercise_sessions:idx_session_status_starttime 8/8x1 q1.0
skew_t34_skew	T34	S0	T4.listForceTime.FAILED.w1	exercise_sessions(idx_session_starttime_member)	275.0	275.0	277	1.16	Limit 0.25/8x1 q8.0 ; Filter 0.25/8x1 q8.0 ; exercise_sessions:idx_session_starttime_member 1/275x1 q275.0
skew_t34_skew	T34	S0	T4.count.FAILED.w1	exercise_sessions(idx_session_status_starttime)	1.0	1.0	9	0.0335	Aggregate 1/1x1 q1.0 ; Filter 8/8x1 q1.0 ; exercise_sessions:idx_session_status_starttime 8/8x1 q1.0
skew_t34_skew	T34	S0	T4.list.FAILED.w7	exercise_sessions(idx_session_status_starttime)	2.1	2.1	20	0.181	Limit 20/20x1 q1.0 ; exercise_sessions:idx_session_status_starttime 42/20x1 q2.1
skew_t34_skew	T34	S0	T4.listForceTime.FAILED.w7	exercise_sessions(idx_session_starttime_member)	895.0	895.0	896	1.76	Limit 0.25/20x1 q20.0 ; Filter 0.25/20x1 q20.0 ; exercise_sessions:idx_session_starttime_member 1/895x1 q895.0
skew_t34_skew	T34	S0	T4.count.FAILED.w7	exercise_sessions(idx_session_status_starttime)	1.0	1.0	43	0.101	Aggregate 1/1x1 q1.0 ; Filter 42/42x1 q1.0 ; exercise_sessions:idx_session_status_starttime 42/42x1 q1.0
skew_t34_skew	T34	S0	T4.list.FAILED.w30	exercise_sessions(idx_session_status_starttime)	8.2	8.2	20	0.435	Limit 20/20x1 q1.0 ; exercise_sessions:idx_session_status_starttime 163/20x1 q8.2
skew_t34_skew	T34	S0	T4.listForceTime.FAILED.w30	exercise_sessions(idx_session_starttime_member)	895.0	895.0	896	3.06	Limit 0.25/20x1 q20.0 ; Filter 0.25/20x1 q20.0 ; exercise_sessions:idx_session_starttime_member 1/895x1 q895.0
skew_t34_skew	T34	S0	T4.count.FAILED.w30	exercise_sessions(idx_session_status_starttime)	1.0	1.0	164	0.186	Aggregate 1/1x1 q1.0 ; Filter 163/163x1 q1.0 ; exercise_sessions:idx_session_status_starttime 163/163x1 q1.0
skew_t34_skew	T34	S0	T4.list.FAILED.w0	exercise_sessions(idx_session_status_starttime)	103.5	103.5	20	0.47	Limit 20/20x1 q1.0 ; Filter 2069/20x1 q103.5 ; exercise_sessions:idx_session_status_starttime 2069/20x1 q103.5
skew_t34_skew	T34	S0	T4.listForceTime.FAILED.w0	exercise_sessions(idx_session_starttime_member)	44.8	44.8	896	2.84	Limit 5/20x1 q4.0 ; Filter 5/20x1 q4.0 ; exercise_sessions:idx_session_starttime_member 20/895x1 q44.8
skew_t34_skew	T34	S0	T4.count.FAILED.w0	exercise_sessions(idx_session_status_starttime)	1.0	1.0	2070	1.56	Aggregate 1/1x1 q1.0 ; Filter 2069/2069x1 q1.0 ; exercise_sessions:idx_session_status_starttime 2069/2069x1 q1.0
skew_t34_skew	T34	S0	T4.list.CANCELLED.w1	exercise_sessions(idx_session_status_starttime)	1.1	1.1	20	0.0747	Limit 20/20x1 q1.0 ; exercise_sessions:idx_session_status_starttime 21/20x1 q1.1
skew_t34_skew	T34	S0	T4.listForceTime.CANCELLED.w1	exercise_sessions(idx_session_starttime_member)	256.0	256.0	257	0.637	Limit 0.25/20x1 q20.0 ; Filter 0.25/20x1 q20.0 ; exercise_sessions:idx_session_starttime_member 1/256x1 q256.0
skew_t34_skew	T34	S0	T4.count.CANCELLED.w1	exercise_sessions(idx_session_status_starttime)	1.0	1.0	22	0.0601	Aggregate 1/1x1 q1.0 ; Filter 21/21x1 q1.0 ; exercise_sessions:idx_session_status_starttime 21/21x1 q1.0
skew_t34_skew	T34	S0	T4.list.CANCELLED.w7	exercise_sessions(idx_session_status_starttime)	7.0	7.0	20	0.399	Limit 20/20x1 q1.0 ; exercise_sessions:idx_session_status_starttime 141/20x1 q7.0
skew_t34_skew	T34	S0	T4.listForceTime.CANCELLED.w7	exercise_sessions(idx_session_starttime_member)	256.0	256.0	257	1.2	Limit 0.25/20x1 q20.0 ; Filter 0.25/20x1 q20.0 ; exercise_sessions:idx_session_starttime_member 1/256x1 q256.0
skew_t34_skew	T34	S0	T4.count.CANCELLED.w7	exercise_sessions(idx_session_status_starttime)	1.0	1.0	142	0.18	Aggregate 1/1x1 q1.0 ; Filter 141/141x1 q1.0 ; exercise_sessions:idx_session_status_starttime 141/141x1 q1.0
skew_t34_skew	T34	S0	T4.list.CANCELLED.w30	exercise_sessions(idx_session_status_starttime)	32.8	32.8	20	0.352	Limit 20/20x1 q1.0 ; exercise_sessions:idx_session_status_starttime 656/20x1 q32.8
skew_t34_skew	T34	S0	T4.listForceTime.CANCELLED.w30	exercise_sessions(idx_session_starttime_member)	256.0	256.0	257	1.23	Limit 0.25/20x1 q20.0 ; Filter 0.25/20x1 q20.0 ; exercise_sessions:idx_session_starttime_member 1/256x1 q256.0
skew_t34_skew	T34	S0	T4.count.CANCELLED.w30	exercise_sessions(idx_session_status_starttime)	1.0	1.0	657	0.699	Aggregate 1/1x1 q1.0 ; Filter 656/656x1 q1.0 ; exercise_sessions:idx_session_status_starttime 656/656x1 q1.0
skew_t34_skew	T34	S0	T4.list.CANCELLED.w0	exercise_sessions(idx_session_status_starttime)	737.8	737.8	20	4.97	Limit 20/20x1 q1.0 ; Filter 14756/20x1 q737.8 ; exercise_sessions:idx_session_status_starttime 14756/20x1 q737.8
skew_t34_skew	T34	S0	T4.listForceTime.CANCELLED.w0	exercise_sessions(idx_session_starttime_member)	12.8	12.8	257	1.22	Limit 5/20x1 q4.0 ; Filter 5/20x1 q4.0 ; exercise_sessions:idx_session_starttime_member 20/256x1 q12.8
skew_t34_skew	T34	S0	T4.count.CANCELLED.w0	exercise_sessions(idx_session_status_starttime)	1.8	1.8	8041	7.91	Aggregate 1/1x1 q1.0 ; Filter 14756/8040x1 q1.8 ; exercise_sessions:idx_session_status_starttime 14756/8040x1 q1.8
skew_t34_skew	T34	S0	T4.list.IN_PROGRESS.w1	exercise_sessions(idx_session_status_starttime)	2.9	2.9	20	0.249	Limit 20/20x1 q1.0 ; exercise_sessions:idx_session_status_starttime 57/20x1 q2.9
skew_t34_skew	T34	S0	T4.listForceTime.IN_PROGRESS.w1	exercise_sessions(idx_session_starttime_member)	101.0	101.0	102	0.445	Limit 0.25/20x1 q20.0 ; Filter 0.25/20x1 q20.0 ; exercise_sessions:idx_session_starttime_member 1/101x1 q101.0
skew_t34_skew	T34	S0	T4.count.IN_PROGRESS.w1	exercise_sessions(idx_session_status_starttime)	1.0	1.0	58	0.0879	Aggregate 1/1x1 q1.0 ; Filter 57/57x1 q1.0 ; exercise_sessions:idx_session_status_starttime 57/57x1 q1.0
skew_t34_skew	T34	S0	T4.list.IN_PROGRESS.w7	exercise_sessions(idx_session_status_starttime)	20.2	20.2	20	0.398	Limit 20/20x1 q1.0 ; exercise_sessions:idx_session_status_starttime 404/20x1 q20.2
