arm	round	sessions	req	rps	detect_pct	p50	p95	p99	nolease	nopose	setup_fail	warm_lo	warm_hi	loader_cpus
B	r3	100	23978	299.81	99.03	33.7	57.0	189.0	0	0	0	1788814938.292	1788815018.269	full
B	r3	120	28781	359.79	97.67	49.3	168.6	293.2	0	0	0	1788815075.378	1788815155.372	full
B	r3	160	35558	444.50	94.13	291.2	513.4	647.1	0	0	0	1788815216.247	1788815296.243	full
B	r3	20	4793	59.92	99.96	20.6	29.0	33.5	0	0	0	1788815346.325	1788815426.313	full
B	r3	40	9592	119.96	99.94	21.5	32.3	37.3	0	0	0	1788815478.341	1788815558.300	full
B	r3	60	14397	179.96	99.77	22.6	34.3	72.3	0	0	0	1788815611.169	1788815691.169	full
B	r3	80	19186	239.83	99.47	27.0	56.4	151.6	0	0	0	1788815745.424	1788815825.422	full
B	anc4	80	19191	239.94	99.50	28.5	44.1	147.4	0	0	0	1788815901.025	1788815981.007	full
B	lc2_t1	120	28772	359.69	98.07	41.9	122.5	272.9	0	0	0	1788816059.859	1788816139.851	2
B	lcF_t1	120	28762	359.56	98.21	42.3	121.1	270.2	0	0	0	1788816197.474	1788816277.467	full
B	lc2_t1	160	35638	445.50	94.59	285.5	511.2	649.5	0	0	0	1788816338.159	1788816418.154	2
B	lcF_t1	160	35609	445.11	95.44	297.4	499.5	657.9	0	0	0	1788816479.162	1788816559.162	full
B	lcF_t2	120	28781	359.78	97.53	64.5	190.4	304.8	0	0	0	1788816617.089	1788816697.085	full
B	lc2_t2	120	28764	359.57	97.59	52.7	168.1	291.1	0	0	0	1788816754.893	1788816834.889	2
B	lcF_t2	160	35531	444.15	96.07	303.0	499.9	646.0	0	0	0	1788816895.540	1788816975.537	full
B	lc2_t2	160	35619	445.25	95.58	282.4	527.4	650.5	0	0	0	1788817036.395	1788817116.393	2
B	lc2_t3	120	28742	359.29	97.69	66.5	191.5	302.8	0	0	0	1788817174.204	1788817254.200	2
B	lcF_t3	120	28756	359.47	97.92	46.1	155.4	288.8	0	0	0	1788817311.969	1788817391.965	full
B	lc2_t3	160	35450	443.15	95.50	313.6	481.9	651.6	0	0	0	1788817452.574	1788817532.569	2
B	lcF_t3	160	35526	444.09	95.43	294.9	505.9	655.6	0	0	0	1788817593.663	1788817673.660	full
